23961 140 125 4469	11687 131 10693
37 11717 11262 125 4469 140 125 319 495 22129 117 12693 4692 5716 823 12 145 37 384 565 2324 1701 139 1604 493 57 6281 687 814 114 125 1423 183 493 21472 57 16823 28789 2197 14	365 17278 146 155 13916 12 255 4692 14 6003 25062 10693 233 562 1237 221 11539 12 6924 1277 4934 2839 22225 597 3097 13334 151 2417 12 218 483 18989 33890 3261 14
5678 12 138 493 292 273 3578 12 125 6706 11328 8 8916 34302 8 8606 139 24252 12 1359 125 949 114 57 1613 140 779 9280 57 8143 140 4561 5914 183 6805 1012 25588 14	1209 483 4941 5820 12 200 131 35970 144 5 33230 13 33770 5 244 14390 14 3358 376 1242 5231 1259 824 7280 225 19117 12387 5563 14
2521 273 7948 57 1047 117 222 1806 114 125 1265 140 125 1819 1854 4431 12 2249 222 432 13 4469 14	1344 455 1828 131 5548 491 353 2108 162 6078 534 10693 114 153 2529 7758 14
248 125 11738 12 37 426 565 139 23210 57 10211 8 75 14715 12 138 57 1613 140 1820 273 7948 12 117 2302 140 235 125 6044 1596 12 1537 1070 140 125 12298 7441 12 114 125 2097 779 140 125 319 308 14	5420 529 129 483 4225 13 252 200 286 131 5548 5231 2106 151 1225 1782 1214 16057 131 9655 12 1434 114 153 2984 1829 131 562 308 12 114 353 24928 164 17799 14
12402 6316 12 1077 12 173 222 10211 8 75 14715 14	365 3637 483 12 306 164 353 24928 164 13273 14
9 314 1746 22653 145 11249 57 10211 8 75 14715 10	9 609 455 17713 306 164 353 24928 3459
1657 471 12 117 57 998 140 806 14	649 1621 12 386 6291 14
2521 292 137 2362 499 125 1634 145 10370 183 390 273 501 57 1613 140 9697 19086 145 31694 114 13993 15952 14	1209 483 1000 262 131 10186 151 255 17039 1605 12 5215 118 114 13993 15952 6487 17332 11426 666 247 6785 20864 14
4236 140 125 949 23262 14064 510 4565 114 13993 15952 355 341 32804 25288 12 621 1318 20752 125 319 495 691 57 1854 3027 3692 14	1285 153 33004 27395 12 146 118 114 21261 955 114 13993 15952 164 12314 5215 12 8698 286 347 32804 25288 12 131 255 562 455 1299 280 6776 4501 424 12769 36579 3018 14
11854 122 137 2947 173 493 12 1657 471 12 139 14635 57 6796 139 125 13993 13980 119 471 11097 495 8 75 4924 123 1422 145 125 582 21049 21289 114 13993 15952 145 16261 404 139 335 4814 3840 8376 439 139 4808 57 8432 11371 139 57 510 1760 1243 28	13034 118 4015 12 639 483 12 649 1621 12 131 1621 225 13993 15952 114 642 9151 252 12913 233 1237 597 29183 1279 13213 225 1038 25288 151 1089 3448 225 13993 15952 9135 151 435 10937 3270 12 2839 114 3379 15795 7219 164 1166 12 228 491 353 14595 2471 534 737 6389 1912 164 2997 28
8778 12 341 10036 12 37 2631 119 1498 140 125 3413 493 273 691 7991 384 137 8224 2947 14	754 12 347 10036 12 129 2908 12 218 230 6028 1827 3732 8248 200 14
1691 125 1746 9824 12 37 1730 335 138 341 10036 329 7991 14	1414 252 1310 986 6186 200 12 2153 129 255 1350 225 1038 10036 1872 14
1657 471 12 117 57 998 140 806 14	649 1621 12 386 6291 14
37 384 565 1112 8017 727 10726 29615 2842 35104 3288 2976 14	14769 483 1205 230 13421 164 1556 29615 162 1724 247 131 236 9399 604 825 28
